Loc1;Stop1;Stop2;Loc2
1;0;1;1;1
2;0;1;1;1
3;0;1;1;1
4;0;1;1;1
5;0;1;1;1
6;0;0.75;1;1
7;0;0.5;1;1
8;0;0.25;1;1
9;0;0;1;1
10;0;0;0.75;1
11;0;0;0.5;1
12;0;0;0.25;1
13;0;0;0;1
14;0;0;0;0.75
15;0;0;0;0.5
16;0;0;0;0.25
17;0;0;0;0
18;0;0;0;0
19;0;0;0;0
20;0;0;0;0
21;0;0;0;0
22;0;0;0;0
23;0;0;0;0
24;0;0;0;0
25;0;0;0;0
26;0;0;0;0
27;0;0;0;0
28;0;0;0;0
29;0;0;0;0
30;0;0;0;0
31;0;0;0;0
32;0;0;0;0
33;0;0;0;0
34;0;0;0;0.25
35;0;0;0;0.5
36;0;0;0;0.75
37;0;0;0;1
38;0;0;0.25;1
39;0;0;0.5;1
40;0;0;0.75;1
41;0;0;1;1
42;0;0.25;1;1
43;0;0.5;1;1
44;0;0.75;1;1
45;0;1;1;1
46;0;1;1;1
47;0;1;1;1
48;0;1;1;1
49;0;1;1;1
50;0;1;1;1
51;0;1;1;1
52;0;1;1;1
